rank,title,duration,genres,directors,cast,synopsis,rating,duration_min
76,Bohemian Rhapsody,2h 15min,"Biopic,Drame",Bryan Singer,"Rami Malek,Gwilym Lee,Lucy Boynton","Du succès fulgurant de Freddie Mercury à ses excès, risquant la quasi-implosion du groupe, jusqu’à son retour triomphal sur scène lors du concert Live Aid, alors qu’il était frappé par la maladie, découvrez la vie exceptionnelle d’un homme qui continue d’inspirer les outsiders, les rêveurs et tous ceux qui aiment la musique.",3.0,135
77,Edward aux mains d'argent,1h 45min,"Comédie,Fantastique,Romance",Tim Burton,"Johnny Depp,Winona Ryder,Dianne Wiest","Edward Scissorhands n'est pas un garcon ordinaire. Création d'un inventeur, il a recu un coeur pour aimer, un cerveau pour comprendre. Mais son concepteur est mort avant d'avoir pu terminer son oeuvre...",4.4,105
78,Barry Lyndon,3h 07min,"Aventure,Drame",Stanley Kubrick,"Ryan O'Neal,Marisa Berenson,Patrick Magee","De l'Irlande à la Prusse, l'histoire d'un jeune intriguant et de son ascension dans la fastueuse société du XVIIIème siècle...",5.0,187
79,Wall-E,1h 37min,"Aventure,Animation,Famille",Andrew Stanton,"Ben Burtt,Elissa Knight,Jeff Garlin","L'histoire d'un petit robot nommé WALL•E, à la recherche du grand amour sur Terre... et dans l'espace !",4.6,97
80,Le Trou,2h 12min,"Drame,Thriller",Jacques Becker,"Michel Constantin,Jean Keraudy,Philippe Leroy","Cinq prisonniers, enfermés à La Santé, vont tenter de s'évader en creusant un tunnel.",4.3,132
81,Sueurs froides,2h 09min,"Drame,Thriller",Alfred Hitchcock,"James Stewart,Kim Novak,Barbara Bel Geddes","Rendu responsable de la mort d'un collègue, Scottie, sujet au vertige, quitte la police. Une ancienne relation le contacte afin qu'il suive son épouse, possédée selon lui par l'esprit de son aïeule. Scottie s'éprend bientôt de la jeune femme.",3.8,129
82,La Ruée vers l'or,1h 12min,Comédie,Charles Chaplin,"Charles Chaplin,Mack Swain,Tom Murray","1898, Nord-Ouest du Canada. Alors que des milliers d’aventuriers arpentent le Klondike en quête du métal précieux, Charlot est surpris par une tempête de neige. Il trouve refuge dans une cabane isolée et fait la rencontre de Big Jim McKay et du terrible Black Larsen…",5.0,72
83,La Grande Vadrouille,2h 12min,Comédie,Gérard Oury," Bourvil,Louis de Funès,Claudio Brook","En 1942, un avion anglais est abattu par les Allemands au-dessus de Paris. Les trois pilotes sautent en parachute et atterrissent dans différents endroits de la capitale.",3.8,132
84,Shining,2h 23min,"Epouvante-horreur,Thriller",Stanley Kubrick,"Jack Nicholson,Jean-Louis Trintignant,Shelley Duvall","Écrivain, Jack Torrance est engagé comme gardien, pendant tout l’hiver, d’un grand hôtel isolé du Colorado – l’Overlook – où il espère surmonter enfin sa panne d’inspiration. Il s’y installe avec sa femme Wendy et son fils Danny, doté d’un don de médium.",4.0,143
85,Prisoners,2h 33min,Thriller,Denis Villeneuve,"Hugh Jackman,Jake Gyllenhaal,Viola Davis","Dans la banlieue de Boston, deux fillettes de 6 ans, Anna et Joy, ont disparu. Le détective Loki privilégie la thèse du kidnapping suite au témoignage de Keller, le père d’Anna. Le suspect numéro 1 est rapidement arrêté mais est relâché quelques jours plus tard faute de preuve, entrainant la fureur de Keller.",3.8,153
86,Reservoir Dogs,1h 39min,"Policier,Thriller",Quentin Tarantino,"Harvey Keitel,Tim Roth,Michael Madsen","Après un hold-up manqué, des cambrioleurs de haut vol font leurs comptes dans une confrontation violente, pour découvrir lequel d'entre eux les a trahis.",4.5,99
87,Top Gun: Maverick,2h 11min,Action,Joseph Kosinski,"Tom Cruise,Miles Teller,Jennifer Connelly","Après avoir été l’un des meilleurs pilotes de chasse de la Marine américaine, Pete “Maverick"" Mitchell continue à repousser ses limites en tant que pilote d'essai. Il est chargé de former un détachement de jeunes diplômés de l’école Top Gun pour une mission spéciale qu’aucun pilote n'aurait jamais imaginée.",3.7,131
88,Alabama Monroe,1h 49min,Drame,Felix Van Groeningen,"Johan Heldenbergh,Veerle Baetens,Nell Cattrysse","Didier et Élise vivent une histoire d'amour passionnée et rythmée par la musique. Lui, joue du banjo dans un groupe de Bluegrass Country et vénère l'Amérique. Elle, tient un salon de tatouage et chante dans le groupe de Didier. De leur union fusionnelle naît une fille, Maybelle...",3.7,109
89,Lettre d'une inconnue,1h 27min,"Drame,Romance",Max Ophüls,"Joan Fontaine,Louis Jourdan,Mady Christians","Vienne 1900. Quelques heures avant l’aube et sur le point d’affronter en duel un adversaire, un mari trompé, qu’il a d’ailleurs l’intention de fuir, Stefan Brand, ex-pianiste célèbre, homme à femmes, reçoit une longue missive d’une inconnue, Lisa Berndle.",4.3,87
90,Titanic,3h 14min,"Drame,Romance",James Cameron,"Leonardo DiCaprio,Kate Winslet,Billy Zane","Southampton, 10 avril 1912. Le paquebot le plus grand et le plus moderne du monde, réputé pour son insubmersibilité, le Titanic appareille pour son premier voyage. Quatre jours plus tard, il heurte un iceberg. A son bord, un artiste pauvre et une grande bourgeoise tombent amoureux.",4.9,194
91,La Mort aux trousses,2h 16min,"Aventure,Policier",Alfred Hitchcock,"Cary Grant,Eva Marie Saint,James Mason","Le publiciste Roger Tornhill se retrouve par erreur dans la peau d'un espion. Pris entre une mystérieuse organisation qui cherche à le supprimer et la police qui le poursuit, Tornhill est dans une situation bien inconfortable.",4.6,136
92,1917,1h 59min,"Drame,Guerre",Sam Mendes,"George MacKay,Dean-Charles Chapman,Mark Strong","Pris dans la tourmente de la Première Guerre Mondiale, Schofield et Blake, deux jeunes soldats britanniques, se voient assigner une mission à proprement parler impossible. Porteurs d’un message qui pourrait empêcher une attaque dévastatrice et la mort de centaines de soldats, dont le frère de Blake, ils se lancent dans une véritable course contre la montre, derrière les lignes ennemies.",4.2,119
93,Quand passent les cigognes,1h 37min,"Drame,Romance,Guerre",Mikhail Kalatozov,"Tatiana Samoilova,Aleksey Batalov,Vasili Merkuryev","Moscou, 1941. Veronika et Boris sont éperdument amoureux. Mais lorsque l’Allemagne envahit la Russie, Boris s’engage et part sur le front. Mark, son cousin, évite l’enrôlement et reste auprès de Veronika qu’il convoite...",4.2,97
94,Umberto D.,1h 29min,Drame,Vittorio De Sica,"Carlo Battisti,Maria-Pia Casilio,Lina Gennari","Fonctionnaire à la retraite, Umberto ne parvient plus à subvenir à ses besoins. N’ayant pour seul refuge qu’une pension en piteux état, le vieil homme occupe ses journées à trouver de quoi manger avec pour seul compagnon son chien Flike. Lorsque sa propriétaire menace de l’expulser, Umberto n’a plus qu’à compter sur l’appui de Maria, la jeune femme de chambre qu’il a prise sous son aile...",4.5,89
95,Entre le ciel et l'enfer,2h 23min,"Drame,Thriller",Akira Kurosawa,"Toshirô Mifune,Tatsuya Nakadai,Kyôko Kagawa","Actionnaire d’une grande fabrique de chaussures, Kingo Gondo décide de rassembler tous ses biens pour racheter les actions nécessaires pour devenir majoritaire. C’est alors qu’on lui apprend qu’on a enlevé son fils et qu’une rançon est exigée. Mais, second coup de théâtre, c’est le fils de son chauffeur qui a été enlevé…",3.9,143
96,La Nuit du chasseur,1h 32min,"Drame,Epouvante-horreur,Thriller",Charles Laughton,"Robert Mitchum,Shelley Winters,Lillian Gish","Un prêcheur inquiétant poursuit dans l'Amérique rurale deux enfants dont le père vient d'être condamné pour vol et meurtre. Avant son incarcération, le père leur avait confié dix mille dollars, dont ils ne doivent révéler l'existence à personne...",5.0,92
97,Capharnaüm,2h 00min,Drame,Nadine Labaki,"Zain Al Rafeea,Cedra Izam,Nadine Labaki","À l'intérieur d'un tribunal, Zain, un garçon de 12 ans, est présenté devant le juge. À la question : "" Pourquoi attaquez-vous vos parents en justice ? "", Zain lui répond : "" Pour m'avoir donné la vie ! "". Capharnaüm retrace l'incroyable parcours de cet enfant en quête d'identité et qui se rebelle contre la vie qu'on cherche à lui imposer.",3.0,120
98,Danse avec les loups,3h 54min,Western,"Kevin Costner,Kevin Reynolds","Kevin Costner,Mary McDonnell,Rodney A. Grant","Le jeune lieutenant John Dunbar est envoyé à un poste de reconnaissance dans les immenses plaines du Dakota pendant la guerre de Sécession. Il rencontre au cours de l'une de ses missions de reconnaissance le peuple sioux.Le lieutenant se lie d'amitié avec la population indienne. Il arrive même à intégrer la tribu, au point d'être ...",5.0,234
99,Là-haut,1h 35min,"Aventure,Animation,Famille","Pete Docter,Bob Peterson","Charles Aznavour,Edward Asner,Tom Trouffier","Carl Fredricksen, vendeur de ballons à la retraite, s’envole vers le ciel en attachant des milliers de ballons à sa maison. Un jeune garçon nommé Russell devient un passager clandestin de son voyage.",4.6,95
100,The Truman Show,1h 43min,"Comédie,Drame",Peter Weir,"Jim Carrey,Laura Linney,Natascha McElhone","Truman Burbank mène une vie calme et heureuse. Il habite dans un petit pavillon propret de la radieuse station balnéaire de Seahaven. Il part tous les matins à son bureau d'agent d'assurances dont il ressort huit heures plus tard pour regagner son foyer, savourer le confort de son habitat modèle, la bonne humeur inaltérable et le sourire mécanique de sa femme, Meryl. Mais parfois, Truman étouffe sous tant de bonheur et la nuit l'angoisse le submerge. Il se sent de plus en plus étranger, comme si son entourage jouait un rôle. Il se sent observé...",3.6,103
101,Avengers: Infinity War,2h 36min,"Action,Aventure,Fantastique","Joe Russo,Anthony Russo","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",Les Avengers et leurs alliés devront être prêts à tout sacrifier pour neutraliser le redoutable Thanos avant que son attaque éclair ne conduise à la destruction complète de l’univers.,3.4,156
102,La Vie est belle,2h 09min,"Comédie,Comédie dramatique,Drame",Frank Capra,"James Stewart,Donna Reed,Lionel Barrymore","Le décès de son père oblige un homme à reprendre l'entreprise familiale de prêts à la construction, qui permet aux plus déshérités de se loger. Il entre en conflit avec l'homme le plus riche de la ville, qui tente de ruiner ses efforts...",5.0,129
103,Sixième Sens,1h 47min,"Drame,Thriller",M. Night Shyamalan,"Bruce Willis,Haley Joel Osment,Toni Collette","Cole Sear, garconnet de huit ans est hanté par un terrible secret. Son imaginaire est visité par des esprits menaçants...",4.0,107
104,Le Garçon et la Bête,1h 59min,"Aventure,Animation",Mamoru Hosoda,"Koji Yakusho,Aoi Miyazaki,Shôta Sometani","Shibuya, le monde des humains, et Jutengai, le monde des Bêtes... C'est l'histoire d'un garçon solitaire et d'une Bête seule, qui vivent chacun dans deux mondes séparés. Un jour, le garçon se perd dans le monde des Bêtes où il devient le disciple de la Bête Kumatetsu qui lui donne le nom de Kyuta.",4.0,119
105,L'Argent de la vieille,1h 58min,Comédie,Luigi Comencini,"Alberto Sordi,Silvana Mangano,Bette Davis","Une américaine très riche est passionnée par les jeux de cartes. Son jeu préféré est le ""scopone scientifico"" auquel elle joue quand elle est en Italie. Là-bas, sa demeure surplombe un bidonville de Rome et madame se plaît à défier les pauvres gens au cours de parties où elle est sûre de remporter la mise...",5.0,118
106,Les Rapaces,1h 40min,Drame,Erich Von Stroheim,"Gibson Gowland,Zasu Pitts,Jean Hersholt","Mac Teague, un naïf dentiste, rencontre à San Francisco une jeune fille fiancée à l'un de ses amis...",5.0,100
107,Léon,1h 43min,"Policier,Drame",Luc Besson,"Jean Reno,Gary Oldman,Natalie Portman","Un tueur à gages répondant au nom de Léon prend sous son aile Mathilda, une petite fille de douze ans, seule rescapée du massacre de sa famille. Bientôt, Léon va faire de Mathilda une ""nettoyeuse"", comme lui...",2.0,103
108,Chantons sous la pluie,1h 43min,Comédie musicale,"Stanley Donen,Gene Kelly","Jean Hagen,Gene Kelly,Debbie Reynolds","Les films muets laissent place aux films parlants - et le danseur devenu chanteur est lui aussi pris dans cette transition compliquée, tout comme son ami, sa petite amie et sa désagréable co-star.",4.8,103
109,Citizen Kane,1h 59min,Drame,Orson Welles,"Orson Welles,Joseph Cotten,Dorothy Comingore","A la mort du milliardaire Charles Foster Kane, un grand magnat de la presse, Thompson, un reporter, enquête sur sa vie. Les contacts qu'il prend avec ses proches lui font découvrir un personnage gigantesque, mégalomane, égoïste et solitaire.",4.8,119
110,Incendies,2h 03min,Drame,Denis Villeneuve,"Rémy Girard,Lubna Azabal,Mélissa Désormeaux-Poulin","A la mort de leur mère, un frère et une soeur décident de se rendre au Liban à la recherche de leur père, de leur frère et de leur histoire familiale.",3.8,123
111,L'Inconnu,1h 05min,"Drame,Romance",Tod Browning,"Lon Chaney,Joan Crawford,Nick De Ruiz","Alonzo, ""l'homme sans bras"" d'un cirque installé à Madrid, tire à la carabine et lance des poignards avec ses pieds sur Estrellita, sa jolie partenaire dont il est secrètement amoureux. Mais l'hercule Malabar convoite également la jeune fille...",5.0,65
112,Les Tontons flingueurs,1h 45min,"Comédie,Policier",Georges Lautner,"Lino Ventura,Bernard Blier,Francis Blanche","La vie de Fernand Naudin, ex-truand devenu depuis petit propriétaire d'une usine de tracteurs, est bouleversée quand son ami d'enfance, un gangster notoire, l'appelle à son chevet...",3.8,105
113,Mirage de la vie,2h 05min,"Drame,Romance",Douglas Sirk,"Lana Turner,John Gavin,Sandra Dee","Dans les années 1950, deux femmes, l’une blanche et l’autre noire, élèvent ensemble leurs filles. Mais lorsque celles-ci grandissent, des conflits vont conduire au drame...",4.3,125
114,The Dark Knight Rises,2h 44min,"Action,Thriller",Christopher Nolan,"Christian Bale,Gary Oldman,Tom Hardy","Il y a huit ans, Batman a disparu dans la nuit : lui qui était un héros est alors devenu un fugitif. Mais l'arrivée à Gotham de Bane, terroriste masqué, risque d'arracher Bruce à l'exil qu'il s'est imposé. Pourtant, Batman n'est peut-être plus de taille à affronter Bane…",3.6,164
115,Le Cercle des poètes disparus,2h 08min,Comédie dramatique,Peter Weir,"Robin Williams,Ethan Hawke,Robert Sean Leonard","Todd Anderson, un garçon plutôt timide, est envoyé dans la prestigieuse académie de Welton, réputée pour être l'une des plus fermées et austères des États-Unis, là où son frère avait connu de brillantes études.C'est dans cette université qu'il va faire la rencontre d'un professeur de lettres anglaises plutôt étrange, Mr Keating, ...",4.0,128
116,Les Contes de la lune vague après la pluie,1h 37min,"Drame,Fantastique",Kenji Mizoguchi,"Machiko Kyô,Mitsuko Mito,Kinuyo Tanaka","XVIe siècle. Deux villageois ambitieux partent à l’aventure : le potier Genjuro désire profiter de la guerre pour s’enrichir, le paysan Tobei rêve de devenir un grand samouraï. À la ville, Genjuro est entraîné par une belle et étrange princesse dans son manoir où il succombe à ses sortilèges...",5.0,97
117,Les Nuits de Cabiria,1h 55min,Drame,Federico Fellini,"Giulietta Masina,François Périer,Franca Marzi","Cabiria, une petite prostituée romaine, est une gentille fille, assez naïve malgré son dur métier. En dehors de ses clients, les hommes qu'elle rencontre font montre envers elle d'une grande cruauté. Avec une foi inébranlable, Cabiria ne désespère pas de voir tourner sa chance et persiste à chercher l'amour.",4.5,115
118,Sátántangó (Le Tango de Satan) - Partie 1,7h 30min,Drame,"Bela Tarr,Agnes Hranitzky","Putyi Horvath,Mihaly Vig,Laszlo Lugossy","Partie 1. Dans un village perdu au coeur de la plaine hongroise, les habitants luttent quotidiennement contre le vent et l’incessante pluie d’automne. Dans la ferme collective démantelée et livrée à l’abandon, les complots vont bon train lorsqu’une rumeur annonce le retour de deux hommes passés pour morts. Bouleversés par cette nouvelle, certains habitants y voient l’arrivée d’un messie, d’autres celle de Satan…",4.3,450
119,Les Chaussons rouges,2h 13min,"Drame,Musical,Romance","Michael Powell,Emeric Pressburger","Anton Walbrook,Moira Shearer,Marius Goring","Vicky, danseuse, et Julian, compositeur, sont engagés dans une troupe de ballet. Tyrannique, le directeur pousse Vicky à s'identifier à l'héroïne du ballet ""Les Chaussons rouges"". Elle y sacrifie tout, même son amour pour Julien.",5.0,133
120,L'Accusé,1h 50min,"Policier,Thriller",Oriol Paulo,"Mario Casas,Bárbara Lennie,Ana Wagener","Après s’être réveillé à côté du corps sans vie de sa petite amie à l’hôtel, un homme d’affaires engage une grande avocate pour comprendre ce qui s’est passé.",4.3,110
121,12 Years a Slave,2h 13min,"Drame,Historique",Steve McQueen (II),"Chiwetel Ejiofor,Michael Fassbender,Benedict Cumberbatch","Les États-Unis, quelques années avant la guerre de Sécession.  Solomon Northup, jeune homme noir originaire de l’État de New York, est enlevé et vendu comme esclave. Face à la cruauté d’un propriétaire de plantation de coton, Solomon se bat pour rester en vie et garder sa dignité.",4.2,133
122,La passion de Jeanne d'Arc,1h 50min,"Biopic,Drame,Historique",Carl Theodor Dreyer,"Maria Falconetti,Eugene Silvain,Andre Berley","En 1431 débute le procès de Jeanne dans le château de Rouen, devant un tribunal ecclésiastique au service de l'occupant anglais. Enchaînée, avec une simplicité désarmante, elle explique ses gestes devant une foule qui a décidé de la condamner avant même le début de son jugement.",4.8,110
123,Ma Vie De Courgette,1h 06min,"Animation,Drame,Famille",Claude Barras,"Gaspard Schlatter,Sixtine Murat,Paulin Jaccoud","Courgette n’a rien d’un légume, c’est un vaillant petit garçon. Il croit qu’il est seul au monde quand il perd sa mère. Mais c’est sans compter sur les rencontres qu’il va faire dans sa nouvelle vie au foyer pour enfants.",4.4,66
125,La Colline des hommes perdus,2h 03min,"Drame,Guerre",Sidney Lumet,"Sean Connery,Harry Andrews,Ian Bannen","Durant la Seconde Guerre mondiale, un camp disciplinaire situé en Libye et dirigé par le sergent-major Wilson accueille cinq nouveaux prisonniers. Le terrible sergent Williams est nommé par Wilson pour en faire de vrais soldats.",5.0,123
126,La Barbe à papa,1h 42min,Comédie dramatique,Peter Bogdanovich,"Ryan O'Neal,Tatum O'Neal,Madeline Kahn","Kansas, dans les années 30, Moses Pray, escroc à la petite semaine, assiste à l’enterrement d’une ex-maîtresse et accepte d’emmener sa prétendue fille de 9 ans, Addie, chez une tante. Pendant leur trajet, leurs rapports sont tendus.",5.0,102
127,Barberousse,3h 05min,Drame,Akira Kurosawa,"Toshirô Mifune,Yûzô Kayama,Tsutomu Yamazaki","Au 19e siècle, Noboru est affecté dans une clinique où le médecin chef, surnommé Barberousse, est entièrement dévoué à la cause des déshérités. D'abord réticent, Noboru est peu à peu fasciné par cet homme au coeur pur...",5.0,185
129,Warrior,2h 20min,"Action,Drame",Gavin O'Connor,"Joel Edgerton,Tom Hardy,Jennifer Morrison","Pour remporter un tournoi de free fight qui lui permettrait de payer l'opération de sa femme, le benjamin d'une famille de boxeurs accepte d'être coaché par son père, un ancien boxeur alcoolique auquel il ne parle plus depuis des années.",3.6,140
130,Le Discours d'un roi,1h 58min,"Biopic,Drame,Historique",Tom Hooper,"Colin Firth,Helena Bonham Carter,Derek Jacobi","Le Roi d'Angleterre George VI (1895-1952), père de la Reine Elizabeth II, souffrait de problèmes d'élocution. Ce film raconte comment un orthophoniste peu ordinaire, Lionel Logue, parvint à le guérir...",4.0,118
131,Batman contre le fantôme masqué,1h 16min,"Action,Animation","Eric Radomski,Bruce Timm","Kevin Conroy,Dana Delany,Mark Hamill","Un parrain de la pègre est assassiné par un homme en cape noire. Le nouveau procureur Arthur Reeves accuse Batman. Désormais traqué, Batman enquête pour retrouver le véritable meurtrier. Mais dans le même temps, Bruce Wayne retrouve aussi une ancienne petite-amie, Andréa Beaumont, dont le père fut autrefois mêlé aux affaires des ...",4.3,76
132,Togo,1h 53min,"Aventure,Famille,Historique",Ericson Core,"Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl","Quand une épidémie de diphtérie ravage un village isolé d'Alaska durant l'hiver 1925, la population est en émoi car l'antitoxine nécessaire à leur guérison se trouve à des centaines de kilomètres de là. Les responsables du village s'en remettent alors à Leonhard Seppala, accompagné de son chien de traîneau, Togo.",4.3,113
133,Au Revoir Là-haut,1h 57min,Comédie dramatique,Albert Dupontel,"Nahuel Perez Biscayart,Albert Dupontel,Laurent Lafitte","Novembre 1919. Deux rescapés des tranchées, l'un dessinateur de génie, l'autre modeste comptable, décident de monter une arnaque aux monuments aux morts. Dans la France des années folles, l'entreprise va se révéler aussi dangereuse que spectaculaire..",3.9,117
134,Boulevard du crépuscule,1h 50min,"Drame,Romance",Billy Wilder,"William Holden,Gloria Swanson,Erich Von Stroheim","Un scénariste qui a du mal à percer, est embauché par une ancienne star du muet, disparu d’Hollywood, pour écrire un scénario.",4.4,110
135,L'Armée des Ombres,2h 20min,"Drame,Guerre",Jean-Pierre Melville,"Lino Ventura,Simone Signoret,Paul Crauchet","France 1942. Gerbier, ingénieur des Ponts et Chaussées est également l'un des chefs de la Résistance. Dénoncé et capturé, il est incarcéré dans un camp de prisonniers. Alors qu'il prépare son évasion, il est récupéré par la Gestapo...",4.5,140
136,L'Enfer est à lui,1h 54min,"Action,Policier,Drame",Raoul Walsh,"James Cagney,Virginia Mayo,Edmond O'Brien","Cody Jarrett et ses complices attaquent un train en Californie. Pendant l'opération, quatre employés sont tués. La police est déterminée à retrouver les coupables et surveille la mère de Cody, à laquelle ce dernier voue une adoration pathologique...",4.3,114
137,Heat,2h 50min,"Policier,Drame",Michael Mann,"Al Pacino,Robert De Niro,Val Kilmer","À travers l'affrontement d'un chef de gang redoutable et d'un lieutenant de police opiniâtre, ce film explore l'univers policier de Los Angeles et entrecroise les destinées de trois couples en crise.",3.2,170
138,Et pour quelques dollars de plus,2h 10min,Western,Sergio Leone,"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè","Le colonel Douglas Mortimer collabore avec un chasseur de primes surnommé L'""Etranger"". Tous les deux souhaitent capturer Indio, un tueur fou, qui sème la terreur autour de lui.",3.7,130
139,Le Château ambulant,1h 59min,"Aventure,Animation,Fantastique",Hayao Miyazaki,"Chieko Baishô,Takuya Kimura,Akihiro Miwa","La jeune Sophie, 18 ans, travaille inlassablement dans la chapellerie autrefois tenue par son père, malheureusement décédé. Résignée à son sort, c’est lors de l’une de ses rares sorties en ville qu’elle fait la connaissance du beau Hauru, un magicien. Mais la sorcière des Landes, jalouse de cette rencontre, jette un sort à Sophie, la transformant en vieille dame. Accablée par sa nouvelle apparence, Sophie s’enfuit dans les montagnes et tombe sur la demeure de Hauru : son Château Ambulant. Et si tout ceci n’était que le commencement d’une merveilleuse histoire ?",4.3,119
140,Casino,2h 58min,Drame,Martin Scorsese,"Robert De Niro,Sharon Stone,Joe Pesci","En 1973, Sam Ace Rothstein est le grand manitou de la ville de toutes les folies, Las Vegas. Il achète et épouse une virtuose de l’arnaque, Ginger Mc Kenna, qui sombre bien vite dans l’alcool et la drogue. Mais un autre ennui guette Sam, son ami d’enfance Nicky Santoro, qui entreprend de mettre la ville en coupe réglée…",4.4,178
141,Scarface,2h 45min,"Action,Drame",Brian De Palma,"Al Pacino,Michelle Pfeiffer,Steven Bauer","En 1980, Tony Montana bénéficie d'une amnistie du gouvernement cubain pour retourner en Floride. Ambitieux et sans scrupules, il élabore un plan pour éliminer un caïd de la pègre et prendre la place qu'il occupait sur le marché de la drogue.",3.9,165
142,Avatar,2h 42min,"Aventure,Science Fiction",James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver","Sur la lointaine planète de Pandora, Jake Sully, un héros malgré lui, se lance dans une quête de rédemption, de découverte, d'amour inattendu, dont l'issue sera un combat héroïque pour sauver toute une civilisation.",4.3,162
143,Aladdin,1h 30min,"Animation,Comédie musicale,Romance","John Musker,Ron Clements","Paolo Domingo,Scott Weinger,Richard Darbois","Comment Aladdin, grâce à la félonie du grand vizir, va se procurer la lampe magique qui héberge le fameux génie et nous entraîner dans la plus étonnante des aventures.",4.4,90
144,Voyage à Tokyo,2h 16min,Drame,Yasujirô Ozu,"Chishû Ryû,Chieko Higashiyama,Setsuko Hara","Un couple de personnes âgées rend visite à leurs enfants à Tokyo. D'abord reçus avec les égards qui leur sont dus, ils deviennent bientôt dérangeants dans leur vie quotidienne.",4.8,136
145,Raging Bull,2h 09min,"Biopic,Drame",Martin Scorsese,"Robert De Niro,Cathy Moriarty,Joe Pesci",La carrière éblouissante du boxeur Jake La Motta. Une ascension aussi fulgurante que sa chute.,5.0,129
146,Le Peuple Loup,1h 43min,"Aventure,Animation,Famille","Tomm Moore,Ross Stewart","Lévanah Solomon,Honor Kneafsey,Lana Ropion","En Irlande, au temps des superstitions et de la magie, Robyn, une jeune fille de 11 ans, aide son père à chasser la dernière meute de loups. Mais un jour, lors d’une battue en forêt, Robyn rencontre Mebh, petite fille le jour, louve la nuit.",4.2,103
147,Retour vers le futur II,1h 48min,"Aventure,Comédie,Science Fiction",Robert Zemeckis,"Michael J. Fox,Christopher Lloyd,Lea Thompson","Lors de son premier voyage en 1985, Marty a commis quelques erreurs. L'avenir qu'il s'était tracé n'est pas si rose, et son rejeton est tombé sous la coupe du voyou Griff Tannen, qui veut régner sur la ville. En compagnie de son ami Emmett ""Doc"" Brown et de sa fiancée Jennifer, Marty va devoir entreprendre un voyage vers le futur, pour tenter de donner un peu plus de moralité à son héritier. Un voyage aux conséquences dramatiques...",1.6,108
148,Fanny et Alexandre - Partie 1,2h 51min,Drame,Ingmar Bergman,"Pernilla Allwin,Bertil Guve,Kristina Adolphson","Suède, début du XXème siècle. Le film dépeint la vie d'une jeune fille, Fanny, et de son frère Alexandre au sein d'une famille aisée. Les parents travaillent dans le théâtre et sont très heureux ensemble jusqu'à la mort subite du père. Peu après ce drame, la mère trouve un prétendant...",4.3,171
149,The Father,1h 38min,Drame,Florian Zeller,"Anthony Hopkins,Olivia Colman,Mark Gatiss","THE FATHER raconte la trajectoire intérieure d’un homme de 81 ans, Anthony, dont la réalité se brise peu à peu sous nos yeux. Mais c’est aussi l’histoire d’Anne, sa fille, qui tente de l’accompagner dans un labyrinthe de questions sans réponses.",3.9,98
150,Le Château dans le ciel,2h 04min,"Aventure,Animation,Famille",Hayao Miyazaki,"Mayumi Tanaka,Jim Cummings,Hiroshi Ito","Qui est vraiment Sheeta, la petite fille porteuse d’une pierre en pendentif aux pouvoirs magiques qui suscite bien des convoitises ? Retenue prisonnière à bord d’un dirigeable, l’enfant affronte une bande de pirates de l’air menée par la très pittoresque Dora, puis une armée de militaires à la solde de Muska, un gentleman machiavélique trop poli pour être honnête. Sauvée par le jeune Pazu, Sheeta se réfugie dans un village de mineurs. Là, elle tentera avec le garçon de percer le secret de ses origines pour prouver que l’histoire de Laputa, l’île merveilleuse flottant dans les airs, n’est pas une légende…",5.0,124
151,Ratatouille,1h 50min,"Animation,Comédie,Famille",Brad Bird,"Guillaume Lebon,Patton Oswalt,Jean-Pierre Marielle",Les péripéties du rat Rémy dans les coulisses d'un grand restaurant parisien.,4.5,110
152,Mon voisin Totoro,1h 27min,Animation,Hayao Miyazaki,"Chika Sakamoto,Noriko Hidaka,Shigesato Itoi","Deux petites filles, Mei et Satsuki, viennent s'installer avec leur père dans une grande maison à la campagne afin de se rapprocher de l'hôpital où séjourne leur mère. Elles vont découvrir l'existence de leurs nouveaux voisins, invisible aux yeux des autres humains, des créatures merveilleuses, mais très discrètes : Grand Totoro, Moyen Totoro (Chū-Totoro) et Petit Totoro (Chibi-Totoro). Avec son ventre rebondi, Totoro est un être rare et fascinant, un esprit de la forêt... Il se nourrit de glands et de noix. Il peut voler, se déplacer en « Chat-Bus ». Il dort le jour, mais les nuits de pleine lune, il aime jouer avec des ocarinas magiques...",4.4,87
153,Les Incorruptibles,1h 59min,Policier,Brian De Palma,"Kevin Costner,Sean Connery,Charles Martin Smith","A Chicago durant les années trente, lors de la prohibition, Al Capone règne en maître absolu sur le trafic d'alcool. L'agent Eliot Ness et ses hommes partent en guerre contre son gang...",3.3,119
154,La Trilogie Marseillaise de Marcel Pagnol : César,2h 12min,Comédie dramatique,Marcel Pagnol," Raimu,Pierre Fresnay,Fernand Charpin","Fanny, abandonnée par Marius, épouse Panisse qui adopte Césariot, l’enfant de l’amour, et l’élève comme son fils. Aujourd’hui, Césariot est adulte et Panisse se meurt. Fanny révèle la vérité à son fils qui décide alors de partir à la recherche de Marius, son père…",4.3,132
