rank,title,duration,genres,directors,cast,synopsis,rating,duration_min
21,Star Wars : Episode V - L'Empire contre-attaque,2h 04min,"Aventure,Science Fiction",Irvin Kershner,"Mark Hamill,Harrison Ford,Carrie Fisher","Malgré la destruction de l'Etoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales...",5.0,124
22,Seven,2h 10min,"Policier,Drame,Thriller",David Fincher,"Brad Pitt,Morgan Freeman,Gwyneth Paltrow",John Doe a decidé de nettoyer la societé des maux qui la rongent en commettant sept meurtres bases sur les sept pechés capitaux.,3.6,130
23,Le Dictateur,2h 05min,Comédie,Charles Chaplin,"Charles Chaplin,Jack Oakie,Paulette Goddard","Dans le ghetto juif vit un petit barbier qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l’extermination du peuple juif. Au cours d’une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d’Hynkel...",5.0,125
24,Parasite,2h 12min,Thriller,Bong Joon Ho,"Song Kang-Ho,Woo-sik Choi,Park So-Dam","Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable...",4.8,132
25,Your Name,1h 50min,"Animation,Fantastique",Makoto Shinkai,"Yoann Borg,Ryûnosuke Kamiki,Alice Orsat","Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d’imaginer pouvoir vivre l’aventure urbaine dans la peau de… Taki, un jeune lycéen vivant à Tokyo, occupé entre son petit boulot dans un restaurant italien et ses nombreux amis.",4.0,110
26,Les Affranchis,2h 25min,"Drame,Thriller",Martin Scorsese,"Ray Liotta,Robert De Niro,Joe Pesci","Depuis sa plus tendre enfance, Henry Hill, né d'un père irlandais et d'une mère sicilienne, veut devenir gangster et appartenir à la Mafia. Adolescent dans les années cinquante, il commence par travailler pour le compte de Paul Cicero...",5.0,145
27,Fight Club,2h 19min,"Drame,Thriller",David Fincher,"Brad Pitt,Edward Norton,Helena Bonham Carter","Le narrateur, vit seul, travaille seul, dort seul, comme beaucoup d'autres personnes seules qui connaissent la misère morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin dirigé par Tyler Durden, anarchiste entre gourou et philosophe.",2.7,139
28,Coco,1h 45min,"Animation,Famille,Fantastique","Lee Unkrich,Adrian Molina","Andrea Santamaria,Anthony Gonzalez (VIII),Benjamin Bratt","Depuis déjà plusieurs générations, la musique est bannie dans la famille de Miguel. Un vrai déchirement pour le jeune garçon dont le rêve ultime est de devenir un musicien aussi accompli que son idole, Ernesto de la Cruz.",4.1,105
29,"Le Parrain, 2e partie",3h 20min,"Policier,Drame",Francis Ford Coppola,"Kathleen Beller,Ignazio Pappalardo,Roman Coppola","Depuis la mort de Don Vito Corleone, son fils Michael règne sur la famille. Amené à négocier avec la mafia juive, il perd le soutien de son lieutenant Frankie Pentageli. Echappant de justesse à un attentat, Michael tente de retrouver le coupable...",4.7,200
30,Inception,2h 28min,"Science Fiction,Thriller",Christopher Nolan,"Leonardo DiCaprio,Marion Cotillard,Elliot Page","Au lieu de subtiliser un rêve, un voleur expérimenté et son équipe doivent faire l'inverse : implanter une idée dans l'esprit d'un individu. S'ils y parviennent, il pourrait s'agir du crime parfait ...",4.1,148
31,Green Book : Sur les routes du sud,2h 10min,"Biopic,Drame",Peter Farrelly,"Viggo Mortensen,Mahershala Ali,Linda Cardellini","En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts.",4.0,130
32,Retour vers le futur,1h 56min,"Aventure,Comédie,Science Fiction",Robert Zemeckis,"Michael J. Fox,Christopher Lloyd,Lea Thompson","Après être arrivé en 1955 à bord d'une DeLorean convertie en machine à remonter le temps, Marty McFly fonce pour s'assurer que ses futurs parents tombent amoureux.",3.6,116
33,La Vie est belle,1h 57min,Comédie dramatique,Roberto Benigni,"Roberto Benigni,Horst Buchholz,Marisa Paredes","En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les ...",3.7,117
34,Usual Suspects,1h 46min,"Policier,Thriller",Bryan Singer,"Chazz Palminteri,Kevin Spacey,Gabriel Byrne","Suite à une mystérieuse dénonciation, cinq criminels se retrouvent en garde à vue. Plus tard, engagés sur un coup par le génie du crime Keyser Söze, les cinq hommes sont pris au piège d’une diabolique machination…",4.6,106
35,Les Temps modernes,1h 27min,"Comédie dramatique,Romance",Charles Chaplin,"Charles Chaplin,Paulette Goddard,Henry Bergman","Charlot est ouvrier dans une immense usine. Il resserre quotidiennement des boulons. Mais les machines, le travail à la chaîne le rendent malade, il abandonne son poste et recueille une orpheline…",4.6,87
36,Le Kid,0h 52min,Comédie,Charles Chaplin,"Charles Chaplin,Jackie Coogan,Edna Purviance","Lâchée par son amant, une jeune femme abandonne son enfant. Charlot le vagabond le recueille. Mais les services sociaux s’en mêlent...",4.0,52
37,Le Tombeau des lucioles,1h 30min,"Animation,Drame,Guerre",Isao Takahata,"J. Robert Spencer,Ayano Shiraishi,Veronica Taylor","Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de ...",4.0,90
38,Whiplash,1h 47min,"Drame,Musical",Damien Chazelle,"Miles Teller,J.K. Simmons,Paul Reiser","Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement...",4.1,107
39,American History X,1h 59min,Drame,Tony Kaye,"Edward Norton,Edward Furlong,Elliott Gould","Derek veut venger la mort de son père, abattu par un dealer noir, et épouse les thèses racistes d'un groupuscule de militants d'extrême droite. Ces théories le mèneront à commettre un double meurtre...",2.8,119
40,Psychose,1h 49min,"Epouvante-horreur,Thriller",Alfred Hitchcock,"Anthony Perkins,Janet Leigh,John Gavin",Une jeune femme en fuite trouve refuge dans un motel isolé...,4.5,109
41,Le Silence des agneaux,1h 58min,"Drame,Thriller",Jonathan Demme,"Anthony Hopkins,Jodie Foster,Scott Glenn","Clarice Starling, jeune stagiaire du FBI, est désignée pour enquêter sur une série de meurtres épouvantables commis dans le Middle West par un tueur de femmes psychopathe connu sous le nom de Buffalo Bill.",4.8,118
42,Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles),2h 01min,"Aventure,Science Fiction",George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher","Il y a bien longtemps, dans une galaxie très lointaine... La guerre civile fait rage entre l'Empire galactique et l'Alliance rebelle.",4.8,121
43,Joker,2h 02min,Drame,Todd Phillips,"Joaquin Phoenix,Robert De Niro,Zazie Beetz","Le film, qui relate une histoire originale inédite sur grand écran, se focalise sur la figure emblématique de l’ennemi juré de Batman. Il brosse le portrait d’Arthur Fleck, un homme sans concession méprisé par la société.",4.1,122
44,Lion,1h 58min,"Biopic,Drame",Garth Davis,"Dev Patel,Rooney Mara,Nicole Kidman","Une incroyable histoire vraie :  à 5 ans, Saroo se retrouve seul dans un train traversant l’Inde qui l’emmène malgré lui à des milliers de kilomètres de sa famille. Perdu, le petit garçon doit apprendre à survivre seul dans l’immense ville de Calcutta.",3.1,118
45,Star Wars : Episode VI - Le Retour du Jedi,2h 13min,"Aventure,Science Fiction",Richard Marquand,"Mark Hamill,Harrison Ford,Carrie Fisher","L'Empire galactique est plus puissant que jamais : la construction de la nouvelle arme, l'Etoile de la Mort, menace l'univers tout entier...",3.0,133
